key,original,newExpr,A,test
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 1]]",12*x**4 + 242*x**2 + (3/x**2 + x**(-4))*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-51*x**3 - 483*x - 1224/x - 1061/x**3 - 279/x**5 - 10/x**7) + (y**4 + y**(-4))*(93*x**2 + 531 + 847/x**2 + 432/x**4 + 53/x**6) + (y**6 + y**(-6))*(-94*x - 346/x - 340/x**3 - 92/x**5 - 4/x**7) + (y**8 + y**(-8))*(56 + 130/x**2 + 70/x**4 + 8/x**6) + (y**10 + y**(-10))*(-19/x - 24/x**3 - 5/x**5) + 1043 + 1500/x**2 + 734/x**4 + 86/x**6,-4*t0**5*t1**2 + 8*t0**5*t1 - 5*t0**5 + t0**5/t1 - 10*t0**4*t1**3 + 53*t0**4*t1**2 - 92*t0**4*t1 + 70*t0**4 - 24*t0**4/t1 + 3*t0**4/t1**2 - 10*t0**3*t1**4 + 86*t0**3*t1**3 - 279*t0**3*t1**2 + 432*t0**3*t1 - 340*t0**3 + 130*t0**3/t1 - 19*t0**3/t1**2 - 4*t0**2*t1**5 + 53*t0**2*t1**4 - 279*t0**2*t1**3 + 734*t0**2*t1**2 - 1061*t0**2*t1 + 847*t0**2 - 346*t0**2/t1 + 56*t0**2/t1**2 + 8*t0*t1**5 - 92*t0*t1**4 + 432*t0*t1**3 - 1061*t0*t1**2 + 1500*t0*t1 - 1224*t0 + 531*t0/t1 - 94*t0/t1**2 - 5*t1**5 + 70*t1**4 - 340*t1**3 + 847*t1**2 - 1224*t1 + 1043 - 483/t1 + 93/t1**2 + t1**5/t0 - 24*t1**4/t0 + 130*t1**3/t0 - 346*t1**2/t0 + 531*t1/t0 - 483/t0 + 242/(t0*t1) - 51/(t0*t1**2) + 3*t1**4/t0**2 - 19*t1**3/t0**2 + 56*t1**2/t0**2 - 94*t1/t0**2 + 93/t0**2 - 51/(t0**2*t1) + 12/(t0**2*t1**2),"[[   12   -51    93   -94    56   -19     3     0]
 [  -51   242  -483   531  -346   130   -24     1]
 [   93  -483  1043 -1224   847  -340    70    -5]
 [  -94   531 -1224  1500 -1061   432   -92     8]
 [   56  -346   847 -1061   734  -279    53    -4]
 [  -19   130  -340   432  -279    86   -10     0]
 [    3   -24    70   -92    53   -10     0     0]
 [    0     1    -5     8    -4     0     0     0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 2]]",14*x**2 + (6/x**4 + 3/x**6)*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-60*x - 557/x - 1368/x**3 - 1152/x**5 - 291/x**7 - 10/x**9) + (y**4 + y**(-4))*(115 + 644/x**2 + 1002/x**4 + 499/x**6 + 57/x**8) + (y**6 + y**(-6))*(-127/x - 462/x**3 - 451/x**5 - 120/x**7 - 4/x**9) + (y**8 + y**(-8))*(86/x**2 + 201/x**4 + 112/x**6 + 12/x**8) + (y**10 + y**(-10))*(-34/x**3 - 45/x**5 - 11/x**7) + 277 + 1158/x**2 + 1612/x**4 + 764/x**6 + 86/x**8,-4*t0**6*t1**3 + 12*t0**6*t1**2 - 11*t0**6*t1 + 3*t0**6 - 10*t0**5*t1**4 + 57*t0**5*t1**3 - 120*t0**5*t1**2 + 112*t0**5*t1 - 45*t0**5 + 6*t0**5/t1 - 10*t0**4*t1**5 + 86*t0**4*t1**4 - 291*t0**4*t1**3 + 499*t0**4*t1**2 - 451*t0**4*t1 + 201*t0**4 - 34*t0**4/t1 - 4*t0**3*t1**6 + 57*t0**3*t1**5 - 291*t0**3*t1**4 + 764*t0**3*t1**3 - 1152*t0**3*t1**2 + 1002*t0**3*t1 - 462*t0**3 + 86*t0**3/t1 + 12*t0**2*t1**6 - 120*t0**2*t1**5 + 499*t0**2*t1**4 - 1152*t0**2*t1**3 + 1612*t0**2*t1**2 - 1368*t0**2*t1 + 644*t0**2 - 127*t0**2/t1 - 11*t0*t1**6 + 112*t0*t1**5 - 451*t0*t1**4 + 1002*t0*t1**3 - 1368*t0*t1**2 + 1158*t0*t1 - 557*t0 + 115*t0/t1 + 3*t1**6 - 45*t1**5 + 201*t1**4 - 462*t1**3 + 644*t1**2 - 557*t1 + 277 - 60/t1 + 6*t1**5/t0 - 34*t1**4/t0 + 86*t1**3/t0 - 127*t1**2/t0 + 115*t1/t0 - 60/t0 + 14/(t0*t1),"[[   14   -60   115  -127    86   -34     6     0]
 [  -60   277  -557   644  -462   201   -45     3]
 [  115  -557  1158 -1368  1002  -451   112   -11]
 [ -127   644 -1368  1612 -1152   499  -120    12]
 [   86  -462  1002 -1152   764  -291    57    -4]
 [  -34   201  -451   499  -291    86   -10     0]
 [    6   -45   112  -120    57   -10     0     0]
 [    0     3   -11    12    -4     0     0     0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 3]]",6*x**4 + 174*x**2 + (-5/x - 5/x**3)*(y**14 + y**(-14)) + (y**2 + y**(-2))*(-41*x**3 - 365*x - 864/x - 707/x**3 - 173/x**5 - 6/x**7) + (y**4 + y**(-4))*(4*x**4 + 99*x**2 + 455 + 672/x**2 + 327/x**4 + 39/x**6) + (y**6 + y**(-6))*(-12*x**3 - 132*x - 376/x - 345/x**3 - 93/x**5 - 4/x**7) + (y**8 + y**(-8))*(17*x**2 + 117 + 210/x**2 + 110/x**4 + 13/x**6) + (y**10 + y**(-10))*(-16*x - 72/x - 73/x**3 - 17/x**5) + (y**12 + y**(-12))*(11 + 28/x**2 + 12/x**4) + 723 + (y**16 + y**(-16))/x**2 + 984/x**2 + 448/x**4 + 48/x**6,-4*t0**5*t1**2 + 13*t0**5*t1 - 17*t0**5 + 12*t0**5/t1 - 5*t0**5/t1**2 + t0**5/t1**3 - 6*t0**4*t1**3 + 39*t0**4*t1**2 - 93*t0**4*t1 + 110*t0**4 - 73*t0**4/t1 + 28*t0**4/t1**2 - 5*t0**4/t1**3 - 6*t0**3*t1**4 + 48*t0**3*t1**3 - 173*t0**3*t1**2 + 327*t0**3*t1 - 345*t0**3 + 210*t0**3/t1 - 72*t0**3/t1**2 + 11*t0**3/t1**3 - 4*t0**2*t1**5 + 39*t0**2*t1**4 - 173*t0**2*t1**3 + 448*t0**2*t1**2 - 707*t0**2*t1 + 672*t0**2 - 376*t0**2/t1 + 117*t0**2/t1**2 - 16*t0**2/t1**3 + 13*t0*t1**5 - 93*t0*t1**4 + 327*t0*t1**3 - 707*t0*t1**2 + 984*t0*t1 - 864*t0 + 455*t0/t1 - 132*t0/t1**2 + 17*t0/t1**3 - 17*t1**5 + 110*t1**4 - 345*t1**3 + 672*t1**2 - 864*t1 + 723 - 365/t1 + 99/t1**2 - 12/t1**3 + 12*t1**5/t0 - 73*t1**4/t0 + 210*t1**3/t0 - 376*t1**2/t0 + 455*t1/t0 - 365/t0 + 174/(t0*t1) - 41/(t0*t1**2) + 4/(t0*t1**3) - 5*t1**5/t0**2 + 28*t1**4/t0**2 - 72*t1**3/t0**2 + 117*t1**2/t0**2 - 132*t1/t0**2 + 99/t0**2 - 41/(t0**2*t1) + 6/(t0**2*t1**2) + t1**5/t0**3 - 5*t1**4/t0**3 + 11*t1**3/t0**3 - 16*t1**2/t0**3 + 17*t1/t0**3 - 12/t0**3 + 4/(t0**3*t1),"[[   0    0    4  -12   17  -16   11   -5    1]
 [   0    6  -41   99 -132  117  -72   28   -5]
 [   4  -41  174 -365  455 -376  210  -73   12]
 [ -12   99 -365  723 -864  672 -345  110  -17]
 [  17 -132  455 -864  984 -707  327  -93   13]
 [ -16  117 -376  672 -707  448 -173   39   -4]
 [  11  -72  210 -345  327 -173   48   -6    0]
 [  -5   28  -73  110  -93   39   -6    0    0]
 [   1   -5   12  -17   13   -4    0    0    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 4]]",10*x**4 + 240*x**2 + (3 + x**(-2))*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-67*x**3 - 442*x - 714/x - 432/x**3 - 97/x**5 - 4/x**7) + (y**4 + y**(-4))*(8*x**4 + 153*x**2 + 442 + 399/x**2 + 137/x**4 + 13/x**6) + (y**6 + y**(-6))*(-24*x**3 - 164*x - 237/x - 114/x**3 - 17/x**5) + (y**8 + y**(-8))*(28*x**2 + 87 + 61/x**2 + 12/x**4) + (y**10 + y**(-10))*(-15*x - 20/x - 5/x**3) + 731 + 720/x**2 + 282/x**4 + 34/x**6,-4*t0**4*t1**3 + 13*t0**4*t1**2 - 17*t0**4*t1 + 12*t0**4 - 5*t0**4/t1 + t0**4/t1**2 - 4*t0**3*t1**4 + 34*t0**3*t1**3 - 97*t0**3*t1**2 + 137*t0**3*t1 - 114*t0**3 + 61*t0**3/t1 - 20*t0**3/t1**2 + 3*t0**3/t1**3 + 13*t0**2*t1**4 - 97*t0**2*t1**3 + 282*t0**2*t1**2 - 432*t0**2*t1 + 399*t0**2 - 237*t0**2/t1 + 87*t0**2/t1**2 - 15*t0**2/t1**3 - 17*t0*t1**4 + 137*t0*t1**3 - 432*t0*t1**2 + 720*t0*t1 - 714*t0 + 442*t0/t1 - 164*t0/t1**2 + 28*t0/t1**3 + 12*t1**4 - 114*t1**3 + 399*t1**2 - 714*t1 + 731 - 442/t1 + 153/t1**2 - 24/t1**3 - 5*t1**4/t0 + 61*t1**3/t0 - 237*t1**2/t0 + 442*t1/t0 - 442/t0 + 240/(t0*t1) - 67/(t0*t1**2) + 8/(t0*t1**3) + t1**4/t0**2 - 20*t1**3/t0**2 + 87*t1**2/t0**2 - 164*t1/t0**2 + 153/t0**2 - 67/(t0**2*t1) + 10/(t0**2*t1**2) + 3*t1**3/t0**3 - 15*t1**2/t0**3 + 28*t1/t0**3 - 24/t0**3 + 8/(t0**3*t1),"[[   0    0    8  -24   28  -15    3    0]
 [   0   10  -67  153 -164   87  -20    1]
 [   8  -67  240 -442  442 -237   61   -5]
 [ -24  153 -442  731 -714  399 -114   12]
 [  28 -164  442 -714  720 -432  137  -17]
 [ -15   87 -237  399 -432  282  -97   13]
 [   3  -20   61 -114  137  -97   34   -4]
 [   0    1   -5   12  -17   13   -4    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 5]]",108*x**4 + 840*x**2 + y**12 + (-9*x - 9/x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-12*x**5 - 301*x**3 - 1126*x - 1278/x - 491/x**3 - 50/x**5) + (y**4 + y**(-4))*(40*x**4 + 381*x**2 + 776 + 489/x**2 + 84/x**4) + (y**6 + y**(-6))*(-51*x**3 - 242*x - 264/x - 73/x**3) + (y**8 + y**(-8))*(31*x**2 + 75 + 35/x**2) + 1659 + y**(-12) + 1120/x**2 + 250/x**4 + 12/x**6,12*t0**3*t1**3 - 50*t0**3*t1**2 + 84*t0**3*t1 - 73*t0**3 + 35*t0**3/t1 - 9*t0**3/t1**2 + t0**3/t1**3 - 50*t0**2*t1**3 + 250*t0**2*t1**2 - 491*t0**2*t1 + 489*t0**2 - 264*t0**2/t1 + 75*t0**2/t1**2 - 9*t0**2/t1**3 + 84*t0*t1**3 - 491*t0*t1**2 + 1120*t0*t1 - 1278*t0 + 776*t0/t1 - 242*t0/t1**2 + 31*t0/t1**3 - 73*t1**3 + 489*t1**2 - 1278*t1 + 1659 - 1126/t1 + 381/t1**2 - 51/t1**3 + 35*t1**3/t0 - 264*t1**2/t0 + 776*t1/t0 - 1126/t0 + 840/(t0*t1) - 301/(t0*t1**2) + 40/(t0*t1**3) - 9*t1**3/t0**2 + 75*t1**2/t0**2 - 242*t1/t0**2 + 381/t0**2 - 301/(t0**2*t1) + 108/(t0**2*t1**2) - 12/(t0**2*t1**3) + t1**3/t0**3 - 9*t1**2/t0**3 + 31*t1/t0**3 - 51/t0**3 + 40/(t0**3*t1) - 12/(t0**3*t1**2),"[[    0   -12    40   -51    31    -9     1]
 [  -12   108  -301   381  -242    75    -9]
 [   40  -301   840 -1126   776  -264    35]
 [  -51   381 -1126  1659 -1278   489   -73]
 [   31  -242   776 -1278  1120  -491    84]
 [   -9    75  -264   489  -491   250   -50]
 [    1    -9    35   -73    84   -50    12]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 6]]",104*x**6 + 860*x**4 + 1700*x**2 + (x**4 + 3*x**2)*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-12*x**7 - 334*x**5 - 1223*x**3 - 1368*x - 519/x - 52/x**3) + (y**4 + y**(-4))*(64*x**6 + 509*x**4 + 964*x**2 + 584 + 97/x**2) + (y**6 + y**(-6))*(-4*x**7 - 109*x**5 - 393*x**3 - 389*x - 101/x) + (y**8 + y**(-8))*(8*x**6 + 80*x**4 + 147*x**2 + 62) + (y**10 + y**(-10))*(-5*x**5 - 26*x**3 - 21*x) + 1145 + 254/x**2 + 12/x**4,12*t0**2*t1**2 - 52*t0**2*t1 + 97*t0**2 - 101*t0**2/t1 + 62*t0**2/t1**2 - 21*t0**2/t1**3 + 3*t0**2/t1**4 - 52*t0*t1**2 + 254*t0*t1 - 519*t0 + 584*t0/t1 - 389*t0/t1**2 + 147*t0/t1**3 - 26*t0/t1**4 + t0/t1**5 + 97*t1**2 - 519*t1 + 1145 - 1368/t1 + 964/t1**2 - 393/t1**3 + 80/t1**4 - 5/t1**5 - 101*t1**2/t0 + 584*t1/t0 - 1368/t0 + 1700/(t0*t1) - 1223/(t0*t1**2) + 509/(t0*t1**3) - 109/(t0*t1**4) + 8/(t0*t1**5) + 62*t1**2/t0**2 - 389*t1/t0**2 + 964/t0**2 - 1223/(t0**2*t1) + 860/(t0**2*t1**2) - 334/(t0**2*t1**3) + 64/(t0**2*t1**4) - 4/(t0**2*t1**5) - 21*t1**2/t0**3 + 147*t1/t0**3 - 393/t0**3 + 509/(t0**3*t1) - 334/(t0**3*t1**2) + 104/(t0**3*t1**3) - 12/(t0**3*t1**4) + 3*t1**2/t0**4 - 26*t1/t0**4 + 80/t0**4 - 109/(t0**4*t1) + 64/(t0**4*t1**2) - 12/(t0**4*t1**3) + t1/t0**5 - 5/t0**5 + 8/(t0**5*t1) - 4/(t0**5*t1**2),"[[    0     0     0    -4     8    -5     1     0]
 [    0     0   -12    64  -109    80   -26     3]
 [    0   -12   104  -334   509  -393   147   -21]
 [   -4    64  -334   860 -1223   964  -389    62]
 [    8  -109   509 -1223  1700 -1368   584  -101]
 [   -5    80  -393   964 -1368  1145  -519    97]
 [    1   -26   147  -389   584  -519   254   -52]
 [    0     3   -21    62  -101    97   -52    12]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 7]]",6*x**4 + 128*x**2 + (-5/x - 5/x**3)*(y**14 + y**(-14)) + (y**2 + y**(-2))*(-35*x**3 - 245*x - 545/x - 443/x**3 - 112/x**5 - 4/x**7) + (y**4 + y**(-4))*(4*x**4 + 73*x**2 + 299 + 446/x**2 + 227/x**4 + 30/x**6) + (y**6 + y**(-6))*(-10*x**3 - 90*x - 265/x - 258/x**3 - 77/x**5 - 4/x**7) + (y**8 + y**(-8))*(12*x**2 + 86 + 169/x**2 + 96/x**4 + 13/x**6) + (y**10 + y**(-10))*(-12*x - 62/x - 67/x**3 - 17/x**5) + (y**12 + y**(-12))*(10 + 27/x**2 + 12/x**4) + 461 + (y**16 + y**(-16))/x**2 + 604/x**2 + 274/x**4 + 30/x**6,-4*t0**5*t1**2 + 13*t0**5*t1 - 17*t0**5 + 12*t0**5/t1 - 5*t0**5/t1**2 + t0**5/t1**3 - 4*t0**4*t1**3 + 30*t0**4*t1**2 - 77*t0**4*t1 + 96*t0**4 - 67*t0**4/t1 + 27*t0**4/t1**2 - 5*t0**4/t1**3 - 4*t0**3*t1**4 + 30*t0**3*t1**3 - 112*t0**3*t1**2 + 227*t0**3*t1 - 258*t0**3 + 169*t0**3/t1 - 62*t0**3/t1**2 + 10*t0**3/t1**3 - 4*t0**2*t1**5 + 30*t0**2*t1**4 - 112*t0**2*t1**3 + 274*t0**2*t1**2 - 443*t0**2*t1 + 446*t0**2 - 265*t0**2/t1 + 86*t0**2/t1**2 - 12*t0**2/t1**3 + 13*t0*t1**5 - 77*t0*t1**4 + 227*t0*t1**3 - 443*t0*t1**2 + 604*t0*t1 - 545*t0 + 299*t0/t1 - 90*t0/t1**2 + 12*t0/t1**3 - 17*t1**5 + 96*t1**4 - 258*t1**3 + 446*t1**2 - 545*t1 + 461 - 245/t1 + 73/t1**2 - 10/t1**3 + 12*t1**5/t0 - 67*t1**4/t0 + 169*t1**3/t0 - 265*t1**2/t0 + 299*t1/t0 - 245/t0 + 128/(t0*t1) - 35/(t0*t1**2) + 4/(t0*t1**3) - 5*t1**5/t0**2 + 27*t1**4/t0**2 - 62*t1**3/t0**2 + 86*t1**2/t0**2 - 90*t1/t0**2 + 73/t0**2 - 35/(t0**2*t1) + 6/(t0**2*t1**2) + t1**5/t0**3 - 5*t1**4/t0**3 + 10*t1**3/t0**3 - 12*t1**2/t0**3 + 12*t1/t0**3 - 10/t0**3 + 4/(t0**3*t1),"[[   0    0    4  -10   12  -12   10   -5    1]
 [   0    6  -35   73  -90   86  -62   27   -5]
 [   4  -35  128 -245  299 -265  169  -67   12]
 [ -10   73 -245  461 -545  446 -258   96  -17]
 [  12  -90  299 -545  604 -443  227  -77   13]
 [ -12   86 -265  446 -443  274 -112   30   -4]
 [  10  -62  169 -258  227 -112   30   -4    0]
 [  -5   27  -67   96  -77   30   -4    0    0]
 [   1   -5   12  -17   13   -4    0    0    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 8]]",18*x**4 + 408*x**2 + (3 + x**(-2))*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-113*x**3 - 713*x - 1090/x - 601/x**3 - 115/x**5 - 4/x**7) + (y**4 + y**(-4))*(12*x**4 + 237*x**2 + 658 + 562/x**2 + 169/x**4 + 13/x**6) + (y**6 + y**(-6))*(-34*x**3 - 229*x - 320/x - 142/x**3 - 17/x**5) + (y**8 + y**(-8))*(36*x**2 + 108 + 73/x**2 + 12/x**4) + (y**10 + y**(-10))*(-17*x - 22/x - 5/x**3) + 1169 + 1074/x**2 + 370/x**4 + 38/x**6,-4*t0**4*t1**3 + 13*t0**4*t1**2 - 17*t0**4*t1 + 12*t0**4 - 5*t0**4/t1 + t0**4/t1**2 - 4*t0**3*t1**4 + 38*t0**3*t1**3 - 115*t0**3*t1**2 + 169*t0**3*t1 - 142*t0**3 + 73*t0**3/t1 - 22*t0**3/t1**2 + 3*t0**3/t1**3 + 13*t0**2*t1**4 - 115*t0**2*t1**3 + 370*t0**2*t1**2 - 601*t0**2*t1 + 562*t0**2 - 320*t0**2/t1 + 108*t0**2/t1**2 - 17*t0**2/t1**3 - 17*t0*t1**4 + 169*t0*t1**3 - 601*t0*t1**2 + 1074*t0*t1 - 1090*t0 + 658*t0/t1 - 229*t0/t1**2 + 36*t0/t1**3 + 12*t1**4 - 142*t1**3 + 562*t1**2 - 1090*t1 + 1169 - 713/t1 + 237/t1**2 - 34/t1**3 - 5*t1**4/t0 + 73*t1**3/t0 - 320*t1**2/t0 + 658*t1/t0 - 713/t0 + 408/(t0*t1) - 113/(t0*t1**2) + 12/(t0*t1**3) + t1**4/t0**2 - 22*t1**3/t0**2 + 108*t1**2/t0**2 - 229*t1/t0**2 + 237/t0**2 - 113/(t0**2*t1) + 18/(t0**2*t1**2) + 3*t1**3/t0**3 - 17*t1**2/t0**3 + 36*t1/t0**3 - 34/t0**3 + 12/(t0**3*t1),"[[    0     0    12   -34    36   -17     3     0]
 [    0    18  -113   237  -229   108   -22     1]
 [   12  -113   408  -713   658  -320    73    -5]
 [  -34   237  -713  1169 -1090   562  -142    12]
 [   36  -229   658 -1090  1074  -601   169   -17]
 [  -17   108  -320   562  -601   370  -115    13]
 [    3   -22    73  -142   169  -115    38    -4]
 [    0     1    -5    12   -17    13    -4     0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 9]]",34*x**6 + x**4*(y**16 + y**(-16)) + 154*x**4 + 218*x**2 + (-5*x**5 - 5*x**3)*(y**14 + y**(-14)) + (y**2 + y**(-2))*(-6*x**7 - 90*x**5 - 197*x**3 - 183*x - 83/x - 13/x**3) + (y**4 + y**(-4))*(34*x**6 + 148*x**4 + 177*x**2 + 93 + 19/x**2) + (y**6 + y**(-6))*(-6*x**7 - 84*x**5 - 150*x**3 - 92*x - 20/x) + (y**8 + y**(-8))*(29*x**6 + 101*x**4 + 82*x**2 + 20) + (y**10 + y**(-10))*(-4*x**7 - 43*x**5 - 57*x**3 - 18*x) + (y**12 + y**(-12))*(8*x**6 + 25*x**4 + 12*x**2) + 155 + 50/x**2 + 4/x**4,4*t0**2*t1**2 - 13*t0**2*t1 + 19*t0**2 - 20*t0**2/t1 + 20*t0**2/t1**2 - 18*t0**2/t1**3 + 12*t0**2/t1**4 - 5*t0**2/t1**5 + t0**2/t1**6 - 13*t0*t1**2 + 50*t0*t1 - 83*t0 + 93*t0/t1 - 92*t0/t1**2 + 82*t0/t1**3 - 57*t0/t1**4 + 25*t0/t1**5 - 5*t0/t1**6 + 19*t1**2 - 83*t1 + 155 - 183/t1 + 177/t1**2 - 150/t1**3 + 101/t1**4 - 43/t1**5 + 8/t1**6 - 20*t1**2/t0 + 93*t1/t0 - 183/t0 + 218/(t0*t1) - 197/(t0*t1**2) + 148/(t0*t1**3) - 84/(t0*t1**4) + 29/(t0*t1**5) - 4/(t0*t1**6) + 20*t1**2/t0**2 - 92*t1/t0**2 + 177/t0**2 - 197/(t0**2*t1) + 154/(t0**2*t1**2) - 90/(t0**2*t1**3) + 34/(t0**2*t1**4) - 6/(t0**2*t1**5) - 18*t1**2/t0**3 + 82*t1/t0**3 - 150/t0**3 + 148/(t0**3*t1) - 90/(t0**3*t1**2) + 34/(t0**3*t1**3) - 6/(t0**3*t1**4) + 12*t1**2/t0**4 - 57*t1/t0**4 + 101/t0**4 - 84/(t0**4*t1) + 34/(t0**4*t1**2) - 6/(t0**4*t1**3) - 5*t1**2/t0**5 + 25*t1/t0**5 - 43/t0**5 + 29/(t0**5*t1) - 6/(t0**5*t1**2) + t1**2/t0**6 - 5*t1/t0**6 + 8/t0**6 - 4/(t0**6*t1),"[[   0    0    0    0    0   -4    8   -5    1]
 [   0    0    0    0   -6   29  -43   25   -5]
 [   0    0    0   -6   34  -84  101  -57   12]
 [   0    0   -6   34  -90  148 -150   82  -18]
 [   0   -6   34  -90  154 -197  177  -92   20]
 [  -4   29  -84  148 -197  218 -183   93  -20]
 [   8  -43  101 -150  177 -183  155  -83   19]
 [  -5   25  -57   82  -92   93  -83   50  -13]
 [   1   -5   12  -18   20  -20   19  -13    4]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[11, ""A"", 10]]",12*x**4 + 206*x**2 + (3/x**2 + x**(-4))*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-47*x**3 - 381*x - 861/x - 685/x**3 - 164/x**5 - 6/x**7) + (y**4 + y**(-4))*(79*x**2 + 401 + 600/x**2 + 290/x**4 + 37/x**6) + (y**6 + y**(-6))*(-76*x - 266/x - 257/x**3 - 71/x**5 - 4/x**7) + (y**8 + y**(-8))*(46 + 108/x**2 + 59/x**4 + 8/x**6) + (y**10 + y**(-10))*(-17/x - 22/x**3 - 5/x**5) + 767 + 994/x**2 + 436/x**4 + 46/x**6,-4*t0**5*t1**2 + 8*t0**5*t1 - 5*t0**5 + t0**5/t1 - 6*t0**4*t1**3 + 37*t0**4*t1**2 - 71*t0**4*t1 + 59*t0**4 - 22*t0**4/t1 + 3*t0**4/t1**2 - 6*t0**3*t1**4 + 46*t0**3*t1**3 - 164*t0**3*t1**2 + 290*t0**3*t1 - 257*t0**3 + 108*t0**3/t1 - 17*t0**3/t1**2 - 4*t0**2*t1**5 + 37*t0**2*t1**4 - 164*t0**2*t1**3 + 436*t0**2*t1**2 - 685*t0**2*t1 + 600*t0**2 - 266*t0**2/t1 + 46*t0**2/t1**2 + 8*t0*t1**5 - 71*t0*t1**4 + 290*t0*t1**3 - 685*t0*t1**2 + 994*t0*t1 - 861*t0 + 401*t0/t1 - 76*t0/t1**2 - 5*t1**5 + 59*t1**4 - 257*t1**3 + 600*t1**2 - 861*t1 + 767 - 381/t1 + 79/t1**2 + t1**5/t0 - 22*t1**4/t0 + 108*t1**3/t0 - 266*t1**2/t0 + 401*t1/t0 - 381/t0 + 206/(t0*t1) - 47/(t0*t1**2) + 3*t1**4/t0**2 - 17*t1**3/t0**2 + 46*t1**2/t0**2 - 76*t1/t0**2 + 79/t0**2 - 47/(t0**2*t1) + 12/(t0**2*t1**2),"[[  12  -47   79  -76   46  -17    3    0]
 [ -47  206 -381  401 -266  108  -22    1]
 [  79 -381  767 -861  600 -257   59   -5]
 [ -76  401 -861  994 -685  290  -71    8]
 [  46 -266  600 -685  436 -164   37   -4]
 [ -17  108 -257  290 -164   46   -6    0]
 [   3  -22   59  -71   37   -6    0    0]
 [   0    1   -5    8   -4    0    0    0]]",0
