key,original,newExpr
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 1]]",4*x**6 + 60*x**4 + 124*x**2 + (x**4 + 3*x**2)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-19*x**5 - 86*x**3 - 85*x - 18/x) + (y**4 + y**(-4))*(2*x**6 + 28*x**4 + 56*x**2 + 22) + (y**6 + y**(-6))*(-3*x**5 - 16*x**3 - 13*x) + 63 + 6/x**2,6*t0*t1 - 18*t0 + 22*t0/t1 - 13*t0/t1**2 + 3*t0/t1**3 - 18*t1 + 63 - 85/t1 + 56/t1**2 - 16/t1**3 + t1**(-4) + 22*t1/t0 - 85/t0 + 124/(t0*t1) - 86/(t0*t1**2) + 28/(t0*t1**3) - 3/(t0*t1**4) - 13*t1/t0**2 + 56/t0**2 - 86/(t0**2*t1) + 60/(t0**2*t1**2) - 19/(t0**2*t1**3) + 2/(t0**2*t1**4) + 3*t1/t0**3 - 16/t0**3 + 28/(t0**3*t1) - 19/(t0**3*t1**2) + 4/(t0**3*t1**3) + t0**(-4) - 3/(t0**4*t1) + 2/(t0**4*t1**2)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 2]]",(6/x**4 + 3/x**6)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-21/x - 93/x**3 - 91/x**5 - 19/x**7) + (y**4 + y**(-4))*(28/x**2 + 67/x**4 + 33/x**6 + 2/x**8) + (y**6 + y**(-6))*(-19/x**3 - 24/x**5 - 5/x**7) + 7 + 68/x**2 + 128/x**4 + 60/x**6 + 4/x**8,2*t0**5*t1**3 - 5*t0**5*t1**2 + 3*t0**5*t1 + 4*t0**4*t1**4 - 19*t0**4*t1**3 + 33*t0**4*t1**2 - 24*t0**4*t1 + 6*t0**4 + 2*t0**3*t1**5 - 19*t0**3*t1**4 + 60*t0**3*t1**3 - 91*t0**3*t1**2 + 67*t0**3*t1 - 19*t0**3 - 5*t0**2*t1**5 + 33*t0**2*t1**4 - 91*t0**2*t1**3 + 128*t0**2*t1**2 - 93*t0**2*t1 + 28*t0**2 + 3*t0*t1**5 - 24*t0*t1**4 + 67*t0*t1**3 - 93*t0*t1**2 + 68*t0*t1 - 21*t0 + 6*t1**4 - 19*t1**3 + 28*t1**2 - 21*t1 + 7
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 3]]",12*x**2 + (-3/x - 3/x**3)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-2*x**3 - 25*x - 58/x - 38/x**3 - 3/x**5) + (y**4 + y**(-4))*(5*x**2 + 29 + 43/x**2 + 13/x**4) + (y**6 + y**(-6))*(-6*x - 23/x - 19/x**3 - 2/x**5) + (y**8 + y**(-8))*(5 + 12/x**2 + 4/x**4) + 51 + (y**12 + y**(-12))/x**2 + 62/x**2 + 16/x**4,-2*t0**4*t1 + 4*t0**4 - 3*t0**4/t1 + t0**4/t1**2 - 3*t0**3*t1**2 + 13*t0**3*t1 - 19*t0**3 + 12*t0**3/t1 - 3*t0**3/t1**2 - 3*t0**2*t1**3 + 16*t0**2*t1**2 - 38*t0**2*t1 + 43*t0**2 - 23*t0**2/t1 + 5*t0**2/t1**2 - 2*t0*t1**4 + 13*t0*t1**3 - 38*t0*t1**2 + 62*t0*t1 - 58*t0 + 29*t0/t1 - 6*t0/t1**2 + 4*t1**4 - 19*t1**3 + 43*t1**2 - 58*t1 + 51 - 25/t1 + 5/t1**2 - 3*t1**4/t0 + 12*t1**3/t0 - 23*t1**2/t0 + 29*t1/t0 - 25/t0 + 12/(t0*t1) - 2/(t0*t1**2) + t1**4/t0**2 - 3*t1**3/t0**2 + 5*t1**2/t0**2 - 6*t1/t0**2 + 5/t0**2 - 2/(t0**2*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 4]]",12*x**4 + 54*x**2 + (x**2 + 3)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-2*x**5 - 24*x**3 - 60*x - 42/x - 4/x**3) + (y**4 + y**(-4))*(4*x**4 + 23*x**2 + 35 + 10/x**2) + (y**6 + y**(-6))*(-3*x**3 - 12*x - 9/x) + 73 + 22/x**2,-4*t0**2*t1 + 10*t0**2 - 9*t0**2/t1 + 3*t0**2/t1**2 - 4*t0*t1**2 + 22*t0*t1 - 42*t0 + 35*t0/t1 - 12*t0/t1**2 + t0/t1**3 + 10*t1**2 - 42*t1 + 73 - 60/t1 + 23/t1**2 - 3/t1**3 - 9*t1**2/t0 + 35*t1/t0 - 60/t0 + 54/(t0*t1) - 24/(t0*t1**2) + 4/(t0*t1**3) + 3*t1**2/t0**2 - 12*t1/t0**2 + 23/t0**2 - 24/(t0**2*t1) + 12/(t0**2*t1**2) - 2/(t0**2*t1**3) + t1/t0**3 - 3/t0**3 + 4/(t0**3*t1) - 2/(t0**3*t1**2)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 5]]",6*x**4 + 64*x**2 + y**8 + (-7*x - 7/x)*(y**6 + y**(-6)) + (y**2 + y**(-2))*(-17*x**3 - 81*x - 81/x - 17/x**3) + (y**4 + y**(-4))*(17*x**2 + 41 + 17/x**2) + 129 + y**(-8) + 64/x**2 + 6/x**4,6*t0**2*t1**2 - 17*t0**2*t1 + 17*t0**2 - 7*t0**2/t1 + t0**2/t1**2 - 17*t0*t1**2 + 64*t0*t1 - 81*t0 + 41*t0/t1 - 7*t0/t1**2 + 17*t1**2 - 81*t1 + 129 - 81/t1 + 17/t1**2 - 7*t1**2/t0 + 41*t1/t0 - 81/t0 + 64/(t0*t1) - 17/(t0*t1**2) + t1**2/t0**2 - 7*t1/t0**2 + 17/t0**2 - 17/(t0**2*t1) + 6/(t0**2*t1**2)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 6]]",10*x**2 + (-3/x - 3/x**3)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-2*x**3 - 18*x - 39/x - 25/x**3 - 2/x**5) + (y**4 + y**(-4))*(4*x**2 + 20 + 31/x**2 + 10/x**4) + (y**6 + y**(-6))*(-4*x - 18/x - 16/x**3 - 2/x**5) + (y**8 + y**(-8))*(4 + 11/x**2 + 4/x**4) + 35 + (y**12 + y**(-12))/x**2 + 40/x**2 + 10/x**4,-2*t0**4*t1 + 4*t0**4 - 3*t0**4/t1 + t0**4/t1**2 - 2*t0**3*t1**2 + 10*t0**3*t1 - 16*t0**3 + 11*t0**3/t1 - 3*t0**3/t1**2 - 2*t0**2*t1**3 + 10*t0**2*t1**2 - 25*t0**2*t1 + 31*t0**2 - 18*t0**2/t1 + 4*t0**2/t1**2 - 2*t0*t1**4 + 10*t0*t1**3 - 25*t0*t1**2 + 40*t0*t1 - 39*t0 + 20*t0/t1 - 4*t0/t1**2 + 4*t1**4 - 16*t1**3 + 31*t1**2 - 39*t1 + 35 - 18/t1 + 4/t1**2 - 3*t1**4/t0 + 11*t1**3/t0 - 18*t1**2/t0 + 20*t1/t0 - 18/t0 + 10/(t0*t1) - 2/(t0*t1**2) + t1**4/t0**2 - 3*t1**3/t0**2 + 4*t1**2/t0**2 - 4*t1/t0**2 + 4/t0**2 - 2/(t0**2*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 7]]",34*x**2 + (3 + x**(-2))*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-6*x**3 - 61*x - 83/x - 30/x**3 - 2/x**5) + (y**4 + y**(-4))*(14*x**2 + 46 + 29/x**2 + 4/x**4) + (y**6 + y**(-6))*(-11*x - 14/x - 3/x**3) + 105 + 74/x**2 + 14/x**4,-2*t0**3*t1**2 + 4*t0**3*t1 - 3*t0**3 + t0**3/t1 - 2*t0**2*t1**3 + 14*t0**2*t1**2 - 30*t0**2*t1 + 29*t0**2 - 14*t0**2/t1 + 3*t0**2/t1**2 + 4*t0*t1**3 - 30*t0*t1**2 + 74*t0*t1 - 83*t0 + 46*t0/t1 - 11*t0/t1**2 - 3*t1**3 + 29*t1**2 - 83*t1 + 105 - 61/t1 + 14/t1**2 + t1**3/t0 - 14*t1**2/t0 + 46*t1/t0 - 61/t0 + 34/(t0*t1) - 6/(t0*t1**2) + 3*t1**2/t0**2 - 11*t1/t0**2 + 14/t0**2 - 6/(t0**2*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 8]]",2*x**6 + x**4*(y**12 + y**(-12)) + 14*x**4 + 18*x**2 + (-3*x**5 - 3*x**3)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-8*x**5 - 17*x**3 - 13*x - 4/x) + (y**4 + y**(-4))*(2*x**6 + 14*x**4 + 13*x**2 + 4) + (y**6 + y**(-6))*(-8*x**5 - 12*x**3 - 4*x) + (y**8 + y**(-8))*(2*x**6 + 9*x**4 + 4*x**2) + 11 + 2/x**2,2*t0*t1 - 4*t0 + 4*t0/t1 - 4*t0/t1**2 + 4*t0/t1**3 - 3*t0/t1**4 + t0/t1**5 - 4*t1 + 11 - 13/t1 + 13/t1**2 - 12/t1**3 + 9/t1**4 - 3/t1**5 + 4*t1/t0 - 13/t0 + 18/(t0*t1) - 17/(t0*t1**2) + 14/(t0*t1**3) - 8/(t0*t1**4) + 2/(t0*t1**5) - 4*t1/t0**2 + 13/t0**2 - 17/(t0**2*t1) + 14/(t0**2*t1**2) - 8/(t0**2*t1**3) + 2/(t0**2*t1**4) + 4*t1/t0**3 - 12/t0**3 + 14/(t0**3*t1) - 8/(t0**3*t1**2) + 2/(t0**3*t1**3) - 3*t1/t0**4 + 9/t0**4 - 8/(t0**4*t1) + 2/(t0**4*t1**2) + t1/t0**5 - 3/t0**5 + 2/(t0**5*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 9]]",6*x**2 + (3/x**2 + x**(-4))*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-16*x - 65/x - 61/x**3 - 12/x**5) + (y**4 + y**(-4))*(18 + 44/x**2 + 21/x**4 + 2/x**6) + (y**6 + y**(-6))*(-11/x - 14/x**3 - 3/x**5) + 51 + 90/x**2 + 38/x**4 + 2/x**6,2*t0**4*t1**2 - 3*t0**4*t1 + t0**4 + 2*t0**3*t1**3 - 12*t0**3*t1**2 + 21*t0**3*t1 - 14*t0**3 + 3*t0**3/t1 + 2*t0**2*t1**4 - 12*t0**2*t1**3 + 38*t0**2*t1**2 - 61*t0**2*t1 + 44*t0**2 - 11*t0**2/t1 - 3*t0*t1**4 + 21*t0*t1**3 - 61*t0*t1**2 + 90*t0*t1 - 65*t0 + 18*t0/t1 + t1**4 - 14*t1**3 + 44*t1**2 - 65*t1 + 51 - 16/t1 + 3*t1**3/t0 - 11*t1**2/t0 + 18*t1/t0 - 16/t0 + 6/(t0*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[8, ""A"", 10]]",2*x**6 + 28*x**4 + 62*x**2 + (x**4 + 3*x**2)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-10*x**5 - 44*x**3 - 44*x - 10/x) + (y**4 + y**(-4))*(2*x**6 + 17*x**4 + 33*x**2 + 12) + (y**6 + y**(-6))*(-3*x**5 - 12*x**3 - 9*x) + 33 + 4/x**2,4*t0*t1 - 10*t0 + 12*t0/t1 - 9*t0/t1**2 + 3*t0/t1**3 - 10*t1 + 33 - 44/t1 + 33/t1**2 - 12/t1**3 + t1**(-4) + 12*t1/t0 - 44/t0 + 62/(t0*t1) - 44/(t0*t1**2) + 17/(t0*t1**3) - 3/(t0*t1**4) - 9*t1/t0**2 + 33/t0**2 - 44/(t0**2*t1) + 28/(t0**2*t1**2) - 10/(t0**2*t1**3) + 2/(t0**2*t1**4) + 3*t1/t0**3 - 12/t0**3 + 17/(t0**3*t1) - 10/(t0**3*t1**2) + 2/(t0**3*t1**3) + t0**(-4) - 3/(t0**4*t1) + 2/(t0**4*t1**2)
